Byrd	Byrd	Byrd	
Age	Depth	d18O	
(yr BP)	(m)	(_)	o2-based accum @  byrd
53497.2	1714.67	-38.9	0.128113772
53775.1	1716.1	-39.1	0.128772455
54052.9	1717.52	-38.9	0.128113772
54330.8	1718.94	-38.9	0.128113772
54584	1720.36	-38.9	0.128113772
54837.3	1721.78	-38.8	0.127784431
55090.5	1723.19	-39.1	0.128772455
55343.8	1724.59	-39.5	0.13008982
55597	1725.99	-39.1	0.128772455
55810.6	1727.39	-39.1	0.128772455
56024.2	1728.78	-39	0.128443114
56237.8	1730.16	-39.1	0.128772455
56451.4	1731.54	-39.7	0.130748503
56665	1732.91	-39	0.128443114
56883.6	1734.28	-39.5	0.13008982
57102.2	1735.65	-39.7	0.130748503
57320.8	1737.01	-40.4	0.133053892
57539.4	1738.37	-39.9	0.131407186
57758	1739.73	-40	0.131736527
57998.8	1741.09	-40.4	0.133053892
58239.6	1742.45	-40.6	0.133712575
58480.4	1743.79	-40.3	0.132724551
58721.2	1745.13	-40.6	0.133712575
58962	1746.47	-40.9	0.134700599
59219	1747.81	-40.8	0.134371257
59476	1749.13	-40.9	0.134700599
59733	1750.46	-39.9	0.131407186
59990	1751.79	-40.6	0.133712575
60247	1753.11	-40.8	0.134371257
60524.4	1754.43	-40.1	0.132065868
60801.8	1755.74	-40.7	0.134041916
61079.2	1757.05	-40.3	0.132724551
61356.6	1758.35	-40.3	0.132724551
61634	1759.65	-40.2	0.13239521
61869.8	1760.95	-40.4	0.133053892
62105.6	1762.25	-40.8	0.134371257
62341.4	1763.53	-40.2	0.13239521
62577.2	1764.81	-40.5	0.133383234
62813	1766.09	-40.8	0.134371257
63066.4	1767.36	-40.2	0.13239521
63319.8	1768.63	-40.2	0.13239521
63573.2	1769.9	-40	0.131736527
63826.6	1771.17	-40	0.131736527
64080	1772.43	-40	0.131736527
64411.2	1773.69	-39.6	0.130419162
64742.4	1774.94	-39.5	0.13008982
65073.6	1776.19	-39.4	0.129760479
65404.8	1777.44	-39.4	0.129760479
65736	1778.69	-40	0.131736527
66022.2	1779.94	-40.1	0.132065868
66308.4	1781.17	-39.8	0.131077844
66594.6	1782.39	-39.9	0.131407186
66880.8	1784.22	-40.2	0.13239521
67167	1786.66	-40.1	0.132065868
67421	1789.08	-40.2	0.13239521
67675	1791.49	-39	0.128443114
67929	1793.89	-39.6	0.130419162
68183	1796.27	-39.6	0.130419162
68437	1798.66	-39.3	0.129431138
68747.2	1801.03	-39.8	0.131077844
69057.4	1803.38	-39.4	0.129760479
69367.6	1805.71	-39.4	0.129760479
69677.8	1808.04	-40.5	0.133383234
69988	1810.34	-40.5	0.133383234
70304.2	1812.62	-40.8	0.134371257
70620.4	1814.88	-40.7	0.134041916
70936.6	1817.14	-40.8	0.134371257
71252.8	1819.37	-39.9	0.131407186
71569	1821.59	-39.5	0.13008982
71872	1823.81	-40.6	0.133712575
72175	1826.01	-40.7	0.134041916
72478	1828.2	-40.8	0.134371257
72750.7	1830.39	-40	0.131736527
73023.3	1832.58	-39.8	0.131077844
73296	1834.76	-40	0.131736527
73623.3	1836.91	-40	0.131736527
73950.7	1839.05	-39.6	0.130419162
74278	1841.16	-39.3	0.129431138
74598.3	1843.26	-38.7	0.12745509
74918.7	1845.34	-38.5	0.126796407
75239	1847.42	-38.7	0.12745509
75564	1849.49	-38.3	0.126137725
75889	1851.54	-38.1	0.125479042
76214	1853.57	-37.8	0.124491018
76521	1855.59	-37.9	0.124820359
76828	1857.61	-37.8	0.124491018
77135	1859.62	-38.5	0.126796407
77438.3	1861.63	-38.5	0.126796407
77741.7	1863.62	-38.9	0.128113772
78045	1865.58	-38.5	0.126796407
78372.8	1867.54	-39.2	0.129101796
78700.5	1869.54	-38.6	0.127125749
79028.3	1871.6	-39.2	0.129101796
79356	1873.59	-39.2	0.129101796
79726.7	1875.5	-39.5	0.13008982
80097.3	1877.4	-39.5	0.13008982
80468	1879.28	-39.9	0.131407186
80846.3	1881.14	-39.8	0.131077844
81224.7	1883	-40	0.131736527
81603	1884.86	-40.2	0.13239521
81991	1886.71	-40	0.131736527
82379	1888.53	-39.9	0.131407186
